Barcode,SubSection,Artical,Size,Qty,MRP
2304DR11714,FS-SHIRT,8929FC,L,1,2999
2310DR9026,FS-SHIRT,9555FC,L,1,2999
2304DR11892,FS-SHIRT,8932FC,L,1,2999
2310DR9035,FS-SHIRT,9555FC,XL,1,2999
2310DR5939,FS-SHIRT,9488FC,L,1,2999
2302DR9704,FS-SHIRT,9558FC,S,1,2999
2302DR9744,FS-SHIRT,9558FC,XL,1,2999
2208DR9259,FS-SHIRT,8579FC,XL,1,2599
2301DR3050,FS-SHIRT,9556FC,XL,1,2999
2304DR11608,FS-SHIRT,8927FC,XL,1,2999
2304DR11554,FS-SHIRT,8927FC,S,1,2999
2304DR11574,FS-SHIRT,8927FC,L,1,2999
2304DR14265,FS-SHIRT,8941FC,L,1,2999
2304DR14247,FS-SHIRT,8941FC,M,1,2999
2210DR1724,FS-SHIRT,8744FC,L,1,2499
2304DR12083,FS-SHIRT,8935FC,L,1,2999
2210DR1692,FS-SHIRT,8745FC,XXL,1,2499
2309DR2707,FS-SHIRT,9062F,XL,1,2999
2309DR2678,FS-SHIRT,9062F,M,1,2999
2211DR1093,FS-SHIRT,8765FC,XXL,1,2499
2209DR2785,FS-SHIRT,8760FC,XXL,1,2499
2209DR2740,FS-SHIRT,8760FC,L,1,2499
2305DR4211,FS-SHIRT,8980FC,XXL,1,2999
2307DR813,FS-SHIRT,8814F,XL,1,2999
2305DR10821,FM SHIRT,FM1049,XL,1,2399
23061693,FS-SHIRT,9266F,XL,1,2999
2309DR4390,FS-SHIRT,9387FL,XXL,1,2999
23061710,FS-SHIRT,9266F,XXL,1,2999
23061702,FS-SHIRT,9266F,XL,1,2999
2309DR4559,FS-SHIRT,ACID-1493,L,1,2999
2309DR4530,FS-SHIRT,9389FL,XL,1,2999
2309DR4537,FS-SHIRT,9389FL,XXL,1,2999
2301DR2402,FS-SHIRT,9513FL,XXL,1,2999
2310DR10765,FS-SHIRT,9514FL,M,1,2999
2310DR10794,FS-SHIRT,9514FL,XXL,1,2999
2207DR918,FS-SHIRT,8602F,M,1,2599
2207DR942,FS-SHIRT,8602F,XL,1,2599
2207DR3044,FS-SHIRT,8603F,L,1,2599
2207DR3055,FS-SHIRT,8603F,XL,1,2599
2207DR3094,FS-SHIRT,8600F,XL,1,2599
2309DR4498,FS-SHIRT,ACID-1492,XL,1,2999
2207DR1027,FS-SHIRT,8607F,XXL,1,2599
2308DR3941,FS-SHIRT,9263FC,M,1,2999
2308DR3913,FS-SHIRT,9262FC,XL,1,2999
2308DR3974,FS-SHIRT,9263FC,L,1,2999
2308DR3963,FS-SHIRT,9263FC,L,1,2999
2308DR3984,FS-SHIRT,9263FC,XL,1,2999
2211DR1916,FS-SHIRT,8693FP,M,1,2499
2211DR1924,FS-SHIRT,8693FP,L,1,2499
23102826,FS-SHIRT,9422FP,M,1,2999
23102829,FS-SHIRT,9422FP,L,1,2999
23102836,FS-SHIRT,9422FP,XL,1,2999
2208DR5892,FS-SHIRT,8541FP,M,1,2799
77710007166,FS-SHIRT,4643FC,3XL,1,1899
2208DR5900,FS-SHIRT,8541FP,L,1,2799
2307DR2329,FS-SHIRT,9017FP,M,1,2999
2208DR5913,FS-SHIRT,8541FP,XL,1,2799
2306DR17,FS-SHIRT,9012FP,M,1,2999
2202DR5892,FS-SHIRT,8257FP,M,1,2599
2202DR5938,FS-SHIRT,8257FP,XL,1,2599
2202DR4471,FS-SHIRT,8296FP,M,1,2599
2205DR6258,FS-SHIRT,8416FP,M,1,2799
2205DR6509,FS-SHIRT,8420FP,M,1,2799
2205DR6540,FS-SHIRT,8420FP,XL,1,2799
2205DR6304,FS-SHIRT,8416FP,XL,1,2799
2305DR732,FS-SHIRT,9028FP,M,1,2999
2306DR46,FS-SHIRT,9012FP,L,1,2999
2306DR51,FS-SHIRT,9012FP,XL,1,2999
2306DR77,FS-SHIRT,9012FP,XXL,1,2999
2304DR8386,FS-SHIRT,8979FC,L,1,2999
2304DR8405,FS-SHIRT,8979FC,XL,1,2999
2304DR8418,FS-SHIRT,8979FC,XXL,1,2999
2301DR3471,FS-SHIRT,9578FC,XXL,1,2999
2301DR3435,FS-SHIRT,9577FC,XXL,1,2999
23121725,FS-SHIRT,9311FC,L,1,2999
23121738,FS-SHIRT,9311FC,XL,1,2999
23121698,FS-SHIRT,9311FC,M,1,2999
2304DR13133,FS-SHIRT,8953FC,XL,1,2999
23061784,FS-SHIRT,9267F,XL,1,2999
23061748,FS-SHIRT,9267F,L,1,2999
2310DR7637,FS-SHIRT,ACID-1491,M,1,2999
2310DR7613,FS-SHIRT,9382FL,L,1,2999
,COTTON TROUSER,CT893,30,1,2999
2310DR7607,FS-SHIRT,9382FL,L,1,2999
23061760,FS-SHIRT,9267F,L,1,2999
23061768,FS-SHIRT,9267F,L,1,2999
2310DR7619,FS-SHIRT,9382FL,XL,1,2999
2310DR7608,FS-SHIRT,9382FL,L,1,2999
2105975,FS-SHIRT,7523FL,M,1,2599
2207DR3132,FS-SHIRT,8601F,L,1,2599
2207DR3139,FS-SHIRT,8601F,XL,1,2599
2205DR606,FS-SHIRT,8404FC,M,1,2499
2208DR12269,FS-SHIRT,8834F,M,1,2999
2208DR12276,FS-SHIRT,8834F,L,1,2999
2208DR12287,FS-SHIRT,8834F,XL,1,2999
2208DR12286,FS-SHIRT,8834F,XL,1,2999
2208DR12294,FS-SHIRT,8834F,XXL,1,2999
2208DR7431,FS-SHIRT,8560F,L,1,2599
2208DR7425,FS-SHIRT,8560F,M,1,2599
2309123,FS-SHIRT,9270F,M,1,2999
2309143,FS-SHIRT,9270F,L,1,2999
2309162,FS-SHIRT,9270F,XL,1,2999
201214451,FS-SHIRT,7325F,M,1,2499
201214468,FS-SHIRT,7325F,L,1,2499
201214513,FS-SHIRT,7325F,XXL,1,2499
2208DR7412,FS-SHIRT,8559F,XL,1,2599
2108803,FS-SHIRT,7650F,M,1,2499
2108862,FS-SHIRT,7650F,XL,1,2499
2205DR5610,FS-SHIRT,8438F,XL,1,2599
2108DR892,FS-SHIRT,8038FC,M,1,2599
2309DR1513,FS-SHIRT,9104F,M,1,2999
2309DR1543,FS-SHIRT,9104F,L,1,2999
2309DR1578,FS-SHIRT,9104F,XL,1,2999
2309DR1589,FS-SHIRT,9104F,XXL,1,2999
2309DR2857,FS-SHIRT,9055F,L,1,2999
2309DR2824,FS-SHIRT,9055F,M,1,2999
23101513,FS-SHIRT,9269F,M,1,2999
23101576,FS-SHIRT,9269F,XL,1,2999
2309DR2655,FS-SHIRT,9061F,XXL,1,2999
2309DR2611,FS-SHIRT,9061F,M,1,2999
23101605,FS-SHIRT,9271F,L,1,2999
23101596,FS-SHIRT,9271F,M,1,2999
23101654,FS-SHIRT,9271F,XXL,1,2999
23101631,FS-SHIRT,9271F,XL,1,2999
2112DR2612,FS-SHIRT,8203F,M,1,2699
2112DR2637,FS-SHIRT,8203F,L,1,2699
2112DR2652,FS-SHIRT,8203F,XL,1,2699
201213414,FS-SHIRT,7333F,XL,1,2499
21081397,FS-SHIRT,7362F,M,1,2999
2107DR3126,FS-SHIRT,7572F,M,1,2499
2107DR3375,FS-SHIRT,7572F,XL,1,2499
2107DR3326,FS-SHIRT,7572F,XL,1,2499
201214517,FS-SHIRT,7327F,S,1,2499
2309DR2753,FS-SHIRT,9051F,M,1,2999
2309DR2783,FS-SHIRT,9051F,XL,1,2999
2309DR2800,FS-SHIRT,9051F,XXL,1,2999
190413857,FS-SHIRT,5326F,3XL,1,1799
21081059,FS-SHIRT,7571F,L,1,2499
2309DR480,FS-SHIRT,8856F,L,1,2999
2305DR10375,FM SHIRT,FM1016,M,1,2499
2305DR10410,FM SHIRT,FM1017,S,1,2499
2305DR10371,FM SHIRT,FM1016,M,1,2499
2308DR712,FM SHIRT,FM1025,L,1,2499
2305DR10420,FM SHIRT,FM1017,L,1,2499
2308DR692,FM SHIRT,FM1025,S,1,2499
2308DR492,FM SHIRT,FM1036,M,1,2499
2308DR497,FM SHIRT,FM1036,L,1,2499
2308DR508,FM SHIRT,FM1036,XL,1,2499
2308DR478,FM SHIRT,FM1036,S,1,2499
2302DR4632,HS-SHIRT,HS9066,XXL,1,2999
2302DR4605,HS-SHIRT,HS9066,XL,1,2999
23034833,HS-SHIRT,HS9159,XXL,1,2999
2309DR2793,FS-SHIRT,9051F,XL,1,2999
2309DR2799,FS-SHIRT,9051F,XXL,1,2999
2309DR2742,FS-SHIRT,9051F,M,1,2999
23101644,FS-SHIRT,9271F,XL,1,2999
23101593,FS-SHIRT,9271F,M,1,2999
2308DR3991,FS-SHIRT,9263FC,XL,1,2999
2308DR3938,FS-SHIRT,9263FC,M,1,2999
2208DR12266,FS-SHIRT,8834F,M,1,2999
2309DR2765,FS-SHIRT,9051F,L,1,2999
2309DR2791,FS-SHIRT,9051F,XL,1,2999
2309DR2745,FS-SHIRT,9051F,M,1,2999
2309DR2801,FS-SHIRT,9051F,XXL,1,2999
23101646,FS-SHIRT,9271F,XL,1,2999
23101653,FS-SHIRT,9271F,XXL,1,2999
23101615,FS-SHIRT,9271F,L,1,2999
2308DR676,FM SHIRT,FM1027,L,1,2499
2308DR660,FM SHIRT,FM1027,S,1,2499
2308DR670,FM SHIRT,FM1027,M,1,2499
2310DR1674,FS-SHIRT,9463F,L,1,2499
19091256,FS-SHIRT,5673F,XL,1,2499
77710019418,FS-SHIRT,F5433,4XL,1,2099
19088984,FS-SHIRT,F5420,4XL,1,2099
77710019513,FS-SHIRT,F5447,4XL,1,2099
77710024846,FS-SHIRT,3535,3XL,1,1799
77710022970,FS-SHIRT,5400F,3XL,1,2599
20062111,FS-SHIRT,SHIRT1299,3XL,1,1399
19042281,HS-SHIRT,5460-HS,3XL,1,1999
77710019496,FS-SHIRT,F5445,3XL,1,2099
2210DR5274,FS-SHIRT,8779FL,XXL,1,2599
2210DR6562,FS-SHIRT,8808FC,XXL,1,2599
2210DR7319,FS-SHIRT,8797FC,XXL,1,2599
2209DR3017,FS-SHIRT,8763FC,XXL,1,2499
2310DR5790,FS-SHIRT,9486FC,XXL,1,2999
2309DR6752,FS-SHIRT,9272FC,XXL,1,2999
2201DR3974,FS-SHIRT,8775FL,XXL,1,2499
2308DR5395,FM SHIRT,FM1028,M,1,2599
2308DR5385,FM SHIRT,FM1028,S,1,2599
2308DR5410,FM SHIRT,FM1028,L,1,2599
2308DR518,FM SHIRT,FM1021,S,1,2499
2308DR546,FM SHIRT,FM1021,XL,1,2499
2308DR526,FM SHIRT,FM1021,M,1,2499
2308DR984,FM SHIRT,FM1039,S,1,2499
2308DR1004,FM SHIRT,FM1039,L,1,2499
2308DR996,FM SHIRT,FM1039,M,1,2499
2310DR1075,FS-SHIRT,9458F,M,1,2499
2305DR7508,FM SHIRT,FM1007,S,1,2499
2305DR10382,FM SHIRT,FM1016,M,1,2499
2308DR942,FM SHIRT,FM1037,S,1,2499
2305DR10369,FM SHIRT,FM1016,S,1,2499
